trendTime,all,one,two,three,half,res
2023-04-22 12:38:12,0.37,0.08,0.37,2.48,0.85,0.18
2023-04-22 12:58:13,0.37,0.08,0.37,2.42,0.86,0.18
2023-04-22 13:18:13,0.37,0.08,0.36,2.49,0.85,0.18
2023-04-22 13:38:13,0.37,0.08,0.36,2.46,0.85,0.19
2023-04-22 13:58:14,0.37,0.08,0.37,2.5,0.86,0.18
2023-04-22 14:18:11,0.37,0.08,0.36,2.46,0.84,0.19
2023-04-22 14:38:09,0.37,0.08,0.37,2.48,0.85,0.19
2023-04-22 14:58:09,0.37,0.08,0.36,2.49,0.85,0.18
2023-04-22 15:18:09,0.37,0.08,0.37,2.46,0.85,0.18
2023-04-22 15:38:10,0.37,0.08,0.36,2.48,0.85,0.18
2023-04-22 15:58:11,0.37,0.08,0.36,2.47,0.85,0.19
2023-04-22 16:21:04,0.37,0.08,0.36,2.51,0.85,0.18
2023-04-22 16:41:04,0.37,0.08,0.36,2.49,0.84,0.18
2023-04-22 17:01:03,0.37,0.08,0.37,2.46,0.85,0.18
2023-04-22 17:21:02,0.37,0.08,0.37,2.49,0.85,0.18
2023-04-22 17:41:01,0.37,0.08,0.36,2.46,0.85,0.18
2023-04-22 18:01:02,0.37,0.08,0.36,2.48,0.84,0.18
2023-04-22 18:21:00,0.37,0.08,0.37,2.49,0.86,0.19
2023-04-22 18:41:00,0.37,0.08,0.36,2.47,0.85,0.2
2023-04-22 19:01:01,0.38,0.08,0.37,2.44,0.85,0.19
2023-04-22 19:28:14,0.37,0.08,0.36,2.5,0.85,0.18
2023-04-22 19:48:17,0.37,0.08,0.36,2.47,0.85,0.18
2023-04-22 20:08:16,0.37,0.08,0.37,2.44,0.86,0.18
2023-04-22 20:28:15,0.37,0.08,0.37,2.47,0.85,0.18
2023-04-22 20:48:14,0.37,0.08,0.37,2.47,0.86,0.18
2023-04-22 21:08:12,0.37,0.08,0.36,2.48,0.86,0.19
2023-04-22 21:30:34,0.37,0.08,0.37,2.46,0.85,0.18
2023-04-22 21:50:37,0.37,0.08,0.36,2.46,0.85,0.19
2023-04-22 22:10:38,0.37,0.08,0.36,2.47,0.84,0.18
2023-04-22 22:30:38,0.38,0.08,0.37,2.45,0.86,0.18
2023-04-22 22:50:37,0.37,0.08,0.37,2.47,0.85,0.19
2023-04-22 23:10:37,0.37,0.08,0.36,2.46,0.86,0.18
2023-04-22 23:30:36,0.37,0.08,0.37,2.45,0.85,0.18
2023-04-22 23:50:36,0.37,0.08,0.37,2.49,0.85,0.19
2023-04-23 00:10:35,0.37,0.08,0.36,2.46,0.85,0.19
2023-04-23 00:30:36,0.37,0.08,0.36,2.47,0.85,0.2
2023-04-23 00:52:43,0.37,0.08,0.37,2.44,0.85,0.18
2023-04-23 01:12:41,0.37,0.08,0.36,2.48,0.84,0.18
