time,GenPCal
2021-11-03 09:54:43.707,7590.65
2021-11-03 09:54:46.863,7589.61
2021-11-03 09:54:49.867,7573.67
2021-11-03 09:54:53.283,7590.0
2021-11-03 09:54:56.403,7575.23
2021-11-03 09:54:59.507,7592.11
2021-11-03 09:55:02.587,7585.0
2021-11-03 09:55:05.683,7580.9
2021-11-03 09:55:08.783,7591.38
2021-11-03 09:55:11.863,7577.21
2021-11-03 09:55:15.323,7595.94
2021-11-03 09:55:18.603,7579.59
2021-11-03 09:55:21.743,7584.19
2021-11-03 09:55:24.867,7579.53
2021-11-03 09:55:28.287,7597.27
2021-11-03 09:55:31.367,7573.87
2021-11-03 09:55:34.483,7591.72
2021-11-03 09:55:37.583,7585.38
2021-11-03 09:55:40.687,7577.19
2021-11-03 09:55:43.763,7596.17
2021-11-03 09:55:46.863,7572.4
2021-11-03 09:55:49.863,7588.43
2021-11-03 09:55:53.443,7590.29
2021-11-03 09:55:56.683,7577.55
2021-11-03 09:55:59.843,7578.36
2021-11-03 09:56:03.303,7582.54
2021-11-03 09:56:06.443,7582.57
2021-11-03 09:56:09.723,7594.17
2021-11-03 09:56:12.863,7573.76
2021-11-03 09:56:16.263,7590.64
2021-11-03 09:56:19.523,7577.69
2021-11-03 09:56:22.783,7597.95
2021-11-03 09:56:25.863,7577.37
2021-11-03 09:56:29.283,7589.15
2021-11-03 09:56:32.383,7574.49
2021-11-03 09:56:35.663,7594.41
2021-11-03 09:56:38.843,7571.56
2021-11-03 09:56:41.863,7590.1
2021-11-03 09:56:44.843,7578.16
2021-11-03 09:56:48.263,7597.17
2021-11-03 09:56:51.383,7580.24
2021-11-03 09:56:54.663,7582.62
2021-11-03 09:56:57.843,7583.16
2021-11-03 09:57:00.843,7585.38
2021-11-03 09:57:04.303,7574.38
2021-11-03 09:57:07.543,7588.46
2021-11-03 09:57:10.843,7572.81
2021-11-03 09:57:13.843,7577.96
2021-11-03 09:57:16.843,7590.18
2021-11-03 09:57:19.843,7594.14
2021-11-03 09:57:23.263,7583.66
2021-11-03 09:57:26.363,7576.69
2021-11-03 09:57:29.483,7592.36
2021-11-03 09:57:32.583,7583.67
2021-11-03 09:57:35.683,7570.42
2021-11-03 09:57:38.763,7585.8
2021-11-03 09:57:41.843,7585.9
2021-11-03 09:57:44.843,7576.28
2021-11-03 09:57:47.843,7595.94
2021-11-03 09:57:50.843,7578.03
2021-11-03 09:57:54.283,7589.62
2021-11-03 09:57:57.423,7576.35
2021-11-03 09:58:00.523,7595.96
2021-11-03 09:58:03.623,7574.3
2021-11-03 09:58:06.723,7581.32
2021-11-03 09:58:09.843,7589.7
2021-11-03 09:58:12.843,7574.46
2021-11-03 09:58:15.850,7591.78
2021-11-03 09:58:18.843,7579.2
2021-11-03 09:58:22.383,7589.81
2021-11-03 09:58:25.523,7580.75
2021-11-03 09:58:28.623,7580.0
2021-11-03 09:58:31.723,7594.82
2021-11-03 09:58:34.823,7572.83
2021-11-03 09:58:37.843,7590.1
2021-11-03 09:58:40.847,7579.8
2021-11-03 09:58:44.443,7593.27
2021-11-03 09:58:47.563,7572.15
2021-11-03 09:58:50.643,7589.82
2021-11-03 09:58:53.703,7576.76
2021-11-03 09:58:56.823,7595.61
2021-11-03 09:58:59.843,7579.38
2021-11-03 09:59:02.843,7576.71
2021-11-03 09:59:05.843,7586.36
2021-11-03 09:59:09.303,7591.96
2021-11-03 09:59:12.383,7595.12
2021-11-03 09:59:15.503,7591.34
2021-11-03 09:59:18.603,7574.87
2021-11-03 09:59:21.783,7583.26
2021-11-03 09:59:24.843,7590.03
2021-11-03 09:59:27.843,7594.59
2021-11-03 09:59:30.843,7583.96
2021-11-03 09:59:33.843,7573.0
2021-11-03 09:59:37.243,7581.19
2021-11-03 09:59:40.343,7588.74
2021-11-03 09:59:43.523,7583.57
2021-11-03 09:59:46.643,7576.91
2021-11-03 09:59:49.763,7590.44
2021-11-03 09:59:52.843,7580.72
2021-11-03 09:59:55.843,7574.1
2021-11-03 09:59:58.843,7595.12
2021-11-03 10:00:01.843,7581.9
2021-11-03 10:00:05.323,7588.62
2021-11-03 10:00:08.423,7582.87
2021-11-03 10:00:11.583,7577.68
2021-11-03 10:00:14.683,7596.83
2021-11-03 10:00:17.803,7572.83
2021-11-03 10:00:20.847,7590.5
2021-11-03 10:00:23.843,7574.82
2021-11-03 10:00:26.843,7596.14
2021-11-03 10:00:30.303,7573.61
2021-11-03 10:00:33.403,7579.61
2021-11-03 10:00:36.483,7588.21
2021-11-03 10:00:39.583,7574.19
2021-11-03 10:00:42.763,7588.52
2021-11-03 10:00:45.843,7583.8
2021-11-03 10:00:48.843,7573.7
2021-11-03 10:00:51.843,7591.4
2021-11-03 10:00:54.843,7571.86
2021-11-03 10:00:57.843,7589.88
2021-11-03 10:01:01.423,7573.01
2021-11-03 10:01:04.563,7590.94
2021-11-03 10:01:07.683,7572.42
2021-11-03 10:01:10.803,7588.76
2021-11-03 10:01:13.843,7596.17
2021-11-03 10:01:17.323,7579.89
2021-11-03 10:01:20.483,7579.78
2021-11-03 10:01:23.583,7582.42
2021-11-03 10:01:26.683,7593.43
2021-11-03 10:01:29.783,7573.0
2021-11-03 10:01:32.843,7590.45
2021-11-03 10:01:35.843,7574.9
2021-11-03 10:01:38.843,7590.4
2021-11-03 10:01:42.263,7572.22
2021-11-03 10:01:45.363,7585.99
2021-11-03 10:01:48.463,7582.59
