time,Ng,GenPCal
2021-11-02 12:17:28.633,12980.63,9535.77
2021-11-02 12:17:31.653,12975.45,9522.98
2021-11-02 12:17:34.653,12977.58,9534.36
2021-11-02 12:17:38.233,12975.59,9530.89
2021-11-02 12:17:41.313,12981.02,9530.38
2021-11-02 12:17:44.593,12979.5,9523.38
2021-11-02 12:17:47.653,12982.87,9549.37
2021-11-02 12:17:51.033,12985.78,9526.3
2021-11-02 12:17:54.313,12978.92,9544.19
2021-11-02 12:17:57.553,12979.57,9524.57
2021-11-02 12:18:00.653,12974.18,9547.84
2021-11-02 12:18:03.653,12979.11,9534.85
2021-11-02 12:18:07.133,12971.46,9542.37
2021-11-02 12:18:10.577,12976.33,9532.56
2021-11-02 12:18:13.653,12970.94,9550.31
2021-11-02 12:18:17.173,12970.42,9521.88
2021-11-02 12:18:20.453,12973.96,9535.56
2021-11-02 12:18:23.553,12976.73,9529.33
2021-11-02 12:18:26.633,12977.3,9550.6
2021-11-02 12:18:30.293,12967.71,9539.15
2021-11-02 12:18:33.553,12971.96,9523.02
2021-11-02 12:18:36.653,12968.78,9548.74
2021-11-02 12:18:40.153,12976.56,9530.32
2021-11-02 12:18:43.633,12974.95,9524.34
2021-11-02 12:18:47.113,12972.16,9550.81
2021-11-02 12:18:50.593,12970.46,9528.5
2021-11-02 12:18:53.653,12971.9,9545.37
2021-11-02 12:18:57.293,12970.86,9536.26
2021-11-02 12:19:00.653,12970.34,9530.32
2021-11-02 12:19:04.193,12977.48,9537.84
2021-11-02 12:19:07.653,12976.66,9547.07
2021-11-02 12:19:11.113,12972.79,9520.95
2021-11-02 12:19:14.393,12968.99,9536.7
2021-11-02 12:19:17.653,12970.51,9529.98
2021-11-02 12:19:21.273,12976.63,9525.19
2021-11-02 12:19:24.653,12970.72,9542.88
2021-11-02 12:19:28.253,12968.9,9546.72
2021-11-02 12:19:31.533,12973.0,9523.35
2021-11-02 12:19:34.653,12973.25,9542.38
2021-11-02 12:19:38.293,12982.46,9539.69
2021-11-02 12:19:41.633,12977.68,9529.15
2021-11-02 12:19:44.633,12982.42,9529.42
2021-11-02 12:19:48.233,12976.72,9523.08
2021-11-02 12:19:51.433,12970.43,9547.28
2021-11-02 12:19:54.653,12970.46,9538.04
2021-11-02 12:19:57.633,12976.98,9520.79
2021-11-02 12:20:01.073,12975.45,9537.14
2021-11-02 12:20:04.333,12976.55,9540.51
2021-11-02 12:20:07.593,12977.09,9526.49
2021-11-02 12:20:11.253,12970.95,9539.47
2021-11-02 12:20:14.653,12969.02,9537.04
2021-11-02 12:20:18.653,12971.98,9542.53
